13:45:47.989 recv:<= 10 5b 01 5c 16 
13:45:47.989 send:<= 10 09 01 0a 16 
13:45:48.146 recv:<= 10 7b 01 7c 16 
13:45:48.146 send:<= 10 09 01 0a 16 
13:45:48.304 recv:<= 10 5b 01 5c 16 
13:45:48.304 send:<= 10 09 01 0a 16 
13:45:48.461 recv:<= 10 7b 01 7c 16 
13:45:48.461 send:<= 10 09 01 0a 16 
13:45:48.617 recv:<= 10 5b 01 5c 16 
13:45:48.617 send:<= 10 09 01 0a 16 
13:45:48.774 recv:<= 10 7b 01 7c 16 
13:45:48.774 send:<= 10 09 01 0a 16 
13:45:48.930 recv:<= 10 5b 01 5c 16 
13:45:48.930 send:<= 10 09 01 0a 16 
13:45:49.087 recv:<= 10 7b 01 7c 16 
13:45:49.087 send:<= 10 09 01 0a 16 
13:45:49.245 recv:<= 10 5b 01 5c 16 
13:45:49.245 send:<= 10 09 01 0a 16 
13:45:49.402 recv:<= 10 7b 01 7c 16 
13:45:49.402 send:<= 10 09 01 0a 16 
13:45:49.559 recv:<= 10 5b 01 5c 16 
13:45:49.559 send:<= 10 09 01 0a 16 
13:45:49.716 recv:<= 10 7b 01 7c 16 
13:45:49.716 send:<= 10 09 01 0a 16 
13:45:49.872 recv:<= 10 5b 01 5c 16 
13:45:49.873 send:<= 10 09 01 0a 16 
13:45:50.030 recv:<= 10 7b 01 7c 16 
13:45:50.030 send:<= 10 09 01 0a 16 
13:45:50.187 recv:<= 10 5b 01 5c 16 
13:45:50.187 send:<= 10 09 01 0a 16 
13:45:50.343 recv:<= 10 7b 01 7c 16 
13:45:50.343 send:<= 10 09 01 0a 16 
13:45:50.501 recv:<= 10 5b 01 5c 16 
13:45:50.501 send:<= 10 09 01 0a 16 
13:45:50.659 recv:<= 10 7b 01 7c 16 
13:45:50.659 send:<= 10 09 01 0a 16 
13:45:50.817 recv:<= 10 5b 01 5c 16 
13:45:50.817 send:<= 10 09 01 0a 16 
